,name,link
301,Maria Skorobogatov,/name/nm0804705/?ref_=tt_cl_t12
302,Jeffrie Lane,/name/nm1508029/?ref_=tt_cl_t13
303,Leib Lensky,/name/nm0502229/?ref_=tt_cl_t14
304,George 'Red' Schwartz,/name/nm0777230/?ref_=tt_cl_t15
305,James Stewart,/name/nm0000071/?ref_=tt_cl_t2
306,Donna Reed,/name/nm0001656/?ref_=tt_cl_t2
307,Lionel Barrymore,/name/nm0000859/?ref_=tt_cl_t3
308,Thomas Mitchell,/name/nm0593775/?ref_=tt_cl_t1
309,Henry Travers,/name/nm0871287/?ref_=tt_cl_t5
310,Beulah Bondi,/name/nm0094135/?ref_=tt_cl_t8
311,Frank Faylen,/name/nm0269709/?ref_=tt_cl_t7
312,Ward Bond,/name/nm0000955/?ref_=tt_cl_t8
313,Gloria Grahame,/name/nm0002108/?ref_=tt_cl_t9
314,H.B. Warner,/name/nm0912478/?ref_=tt_cl_t9
315,Frank Albertson,/name/nm0007214/?ref_=tt_cl_t8
316,Todd Karns,/name/nm0439851/?ref_=tt_cl_t12
317,Samuel S. Hinds,/name/nm0385594/?ref_=tt_cl_t13
318,Mary Treen,/name/nm0871695/?ref_=tt_cl_t14
319,Virginia Patton,/name/nm0666634/?ref_=tt_cl_t15
320,Roberto Benigni,/name/nm0000905/?ref_=tt_cl_t1
321,Nicoletta Braschi,/name/nm0000971/?ref_=tt_cl_t2
322,Giorgio Cantarini,/name/nm0134493/?ref_=tt_cl_t3
323,Giustino Durano,/name/nm0243842/?ref_=tt_cl_t4
324,Sergio Bini Bustric,/name/nm0082979/?ref_=tt_cl_t5
325,Marisa Paredes,/name/nm0004650/?ref_=tt_cl_t6
326,Horst Buchholz,/name/nm0001976/?ref_=tt_cl_t7
327,Lidia Alfonsi,/name/nm0019145/?ref_=tt_cl_t8
328,Giuliana Lojodice,/name/nm0518057/?ref_=tt_cl_t9
329,Amerigo Fontani,/name/nm0284997/?ref_=tt_cl_t10
330,Pietro De Silva,/name/nm0211599/?ref_=tt_cl_t11
331,Francesco Guzzo,/name/nm0350147/?ref_=tt_cl_t12
332,Raffaella Lebboroni,/name/nm0495476/?ref_=tt_cl_t13
333,Claudio Alfonsi,/name/nm0019142/?ref_=tt_cl_t14
334,Gil Baroni,/name/nm0056391/?ref_=tt_cl_t15
335,Stephen Baldwin,/name/nm0000286/?ref_=tt_cl_t1
336,Gabriel Byrne,/name/nm0000321/?ref_=tt_cl_t2
337,Benicio Del Toro,/name/nm0001125/?ref_=tt_cl_t1
